sequence	md5	length	database	accession	description	start	end	evalue	post_processed	date	entry	name
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	PANTHER	PTHR19964	MULTIPLE PDZ DOMAIN PROTEIN	24	678	3.0E-141	T	13-03-2023	-	-
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	SMART	SM00228	pdz_new	609	686	1.6E-16	T	13-03-2023	IPR001478	PDZ domain
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	SMART	SM00228	pdz_new	477	556	3.6E-13	T	13-03-2023	IPR001478	PDZ domain
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	SMART	SM00228	pdz_new	243	318	9.0E-18	T	13-03-2023	IPR001478	PDZ domain
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	SMART	SM00228	pdz_new	349	422	9.5E-17	T	13-03-2023	IPR001478	PDZ domain
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	CDD	cd16780	mRING-HC-C3HC3D_LNX2	45	89	8.45795E-30	T	13-03-2023	-	-
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	ProSiteProfiles	PS50106	PDZ domain profile.	233	318	17.5914	T	13-03-2023	IPR001478	PDZ domain
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	Pfam	PF13923	Zinc finger, C3HC4 type (RING finger)	50	86	2.8E-8	T	13-03-2023	-	-
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	Gene3D	G3DSA:2.30.42.10	-	213	320	2.6E-22	T	13-03-2023	IPR036034	PDZ superfamily
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	Gene3D	G3DSA:3.30.40.10	Zinc/RING finger domain, C3HC4 (zinc finger)	18	147	3.3E-35	T	13-03-2023	IPR013083	Zinc finger, RING/FYVE/PHD-type
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	CDD	cd00992	PDZ_signaling	231	315	2.82163E-16	T	13-03-2023	-	-
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	MobiDBLite	mobidb-lite	consensus disorder prediction	430	454	-	T	13-03-2023	-	-
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	CDD	cd00992	PDZ_signaling	337	419	3.13323E-15	T	13-03-2023	-	-
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	MobiDBLite	mobidb-lite	consensus disorder prediction	418	454	-	T	13-03-2023	-	-
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	Gene3D	G3DSA:2.30.42.10	-	329	420	1.4E-28	T	13-03-2023	IPR036034	PDZ superfamily
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	FunFam	G3DSA:3.30.40.10:FF:000120	ligand of Numb protein X 2	19	147	4.6E-75	T	13-03-2023	-	-
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	ProSitePatterns	PS00518	Zinc finger RING-type signature.	65	74	-	T	13-03-2023	IPR017907	Zinc finger, RING-type, conserved site
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	ProSiteProfiles	PS50106	PDZ domain profile.	600	682	18.2547	T	13-03-2023	IPR001478	PDZ domain
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	FunFam	G3DSA:2.30.42.10:FF:000081	Ligand of Numb protein X 2	594	687	5.8E-52	T	13-03-2023	-	-
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	ProSiteProfiles	PS50089	Zinc finger RING-type profile.	50	88	12.415513	T	13-03-2023	IPR001841	Zinc finger, RING-type
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	MobiDBLite	mobidb-lite	consensus disorder prediction	197	221	-	T	13-03-2023	-	-
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	SUPERFAMILY	SSF50156	PDZ domain-like	224	317	2.5E-22	T	13-03-2023	IPR036034	PDZ superfamily
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	CDD	cd00992	PDZ_signaling	466	542	1.38203E-18	T	13-03-2023	-	-
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	Gene3D	G3DSA:2.30.42.10	-	592	686	1.5E-22	T	13-03-2023	IPR036034	PDZ superfamily
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	Pfam	PF00595	PDZ domain	236	315	4.3E-13	T	13-03-2023	IPR001478	PDZ domain
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	Pfam	PF00595	PDZ domain	340	418	2.7E-12	T	13-03-2023	IPR001478	PDZ domain
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	Pfam	PF00595	PDZ domain	469	549	1.1E-14	T	13-03-2023	IPR001478	PDZ domain
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	Pfam	PF00595	PDZ domain	604	682	2.8E-15	T	13-03-2023	IPR001478	PDZ domain
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	Gene3D	G3DSA:2.30.42.10	-	433	554	2.0E-25	T	13-03-2023	IPR036034	PDZ superfamily
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	SUPERFAMILY	SSF57850	RING/U-box	42	95	1.37E-13	T	13-03-2023	-	-
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	SUPERFAMILY	SSF50156	PDZ domain-like	568	685	2.63E-25	T	13-03-2023	IPR036034	PDZ superfamily
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	FunFam	G3DSA:2.30.42.10:FF:000194	ligand of Numb protein X 2	432	554	3.8E-77	T	13-03-2023	-	-
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	ProSiteProfiles	PS50106	PDZ domain profile.	339	422	19.4004	T	13-03-2023	IPR001478	PDZ domain
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	FunFam	G3DSA:2.30.42.10:FF:000120	Ligand of numb-protein X 2	329	421	2.6E-44	T	13-03-2023	-	-
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	FunFam	G3DSA:2.30.42.10:FF:000164	Ligand of numb-protein X 2	220	324	2.1E-53	T	13-03-2023	-	-
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	SUPERFAMILY	SSF50156	PDZ domain-like	440	552	1.97E-24	T	13-03-2023	IPR036034	PDZ superfamily
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	SMART	SM00184	ring_2	50	87	5.6E-7	T	13-03-2023	IPR001841	Zinc finger, RING-type
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	ProSiteProfiles	PS50106	PDZ domain profile.	468	554	19.038599	T	13-03-2023	IPR001478	PDZ domain
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	SUPERFAMILY	SSF50156	PDZ domain-like	328	426	1.71E-20	T	13-03-2023	IPR036034	PDZ superfamily
sp|Q8N448|LNX2_HUMAN	4b9ca3d3b6b17132cab42a4f37472d1a	690	CDD	cd00992	PDZ_signaling	599	683	6.72382E-21	T	13-03-2023	-	-
sp|P43356|MAGA2_HUMAN	895c794dba531af20f6e4faa486c51d0	314	Gene3D	G3DSA:1.10.10.1200	MAGE homology domain, winged helix WH1 motif	80	190	6.5E-32	T	13-03-2023	IPR041898	MAGE homology domain, winged helix WH1 motif
sp|P43356|MAGA2_HUMAN	895c794dba531af20f6e4faa486c51d0	314	MobiDBLite	mobidb-lite	consensus disorder prediction	1	69	-	T	13-03-2023	-	-
sp|P43356|MAGA2_HUMAN	895c794dba531af20f6e4faa486c51d0	314	FunFam	G3DSA:1.10.10.1200:FF:000002	MAGE family member A11	82	190	3.5E-55	T	13-03-2023	-	-
sp|P43356|MAGA2_HUMAN	895c794dba531af20f6e4faa486c51d0	314	Pfam	PF01454	MAGE homology domain	116	281	4.5E-17	T	13-03-2023	IPR002190	MAGE homology domain
sp|P43356|MAGA2_HUMAN	895c794dba531af20f6e4faa486c51d0	314	PANTHER	PTHR11736	MELANOMA-ASSOCIATED ANTIGEN  MAGE ANTIGEN	4	313	1.4E-82	T	13-03-2023	IPR037445	Melanoma-associated antigen
sp|P43356|MAGA2_HUMAN	895c794dba531af20f6e4faa486c51d0	314	Pfam	PF12440	Melanoma associated antigen family N terminal	5	95	4.7E-27	T	13-03-2023	IPR021072	Melanoma associated antigen, N-terminal
sp|P43356|MAGA2_HUMAN	895c794dba531af20f6e4faa486c51d0	314	ProSiteProfiles	PS50838	MAGE conserved domain profile.	109	308	70.904785	T	13-03-2023	IPR002190	MAGE homology domain
sp|P43356|MAGA2_HUMAN	895c794dba531af20f6e4faa486c51d0	314	SMART	SM01373	MAGE_2	116	286	3.4E-104	T	13-03-2023	IPR002190	MAGE homology domain
sp|P43356|MAGA2_HUMAN	895c794dba531af20f6e4faa486c51d0	314	MobiDBLite	mobidb-lite	consensus disorder prediction	31	48	-	T	13-03-2023	-	-
sp|P43356|MAGA2_HUMAN	895c794dba531af20f6e4faa486c51d0	314	FunFam	G3DSA:1.10.10.1210:FF:000001	melanoma-associated antigen D1	188	314	5.6E-45	T	13-03-2023	-	-
sp|P43356|MAGA2_HUMAN	895c794dba531af20f6e4faa486c51d0	314	Gene3D	G3DSA:1.10.10.1210	MAGE homology domain, winged helix WH2 motif	193	314	9.0E-38	T	13-03-2023	IPR041899	MAGE homology domain, winged helix WH2 motif
sp|P43356|MAGA2_HUMAN	895c794dba531af20f6e4faa486c51d0	314	SMART	SM01392	MAGE_N_2	3	96	3.6E-38	T	13-03-2023	IPR021072	Melanoma associated antigen, N-terminal
sp|Q9UBF1|MAGC2_HUMAN	226c04080eefabe87bb6cf6efdf5403d	373	MobiDBLite	mobidb-lite	consensus disorder prediction	58	99	-	T	13-03-2023	-	-
sp|Q9UBF1|MAGC2_HUMAN	226c04080eefabe87bb6cf6efdf5403d	373	Gene3D	G3DSA:1.10.10.1210	MAGE homology domain, winged helix WH2 motif	221	344	7.3E-45	T	13-03-2023	IPR041899	MAGE homology domain, winged helix WH2 motif
sp|Q9UBF1|MAGC2_HUMAN	226c04080eefabe87bb6cf6efdf5403d	373	ProSiteProfiles	PS50838	MAGE conserved domain profile.	141	336	72.987656	T	13-03-2023	IPR002190	MAGE homology domain
sp|Q9UBF1|MAGC2_HUMAN	226c04080eefabe87bb6cf6efdf5403d	373	Gene3D	G3DSA:1.10.10.1200	MAGE homology domain, winged helix WH1 motif	111	219	4.4E-24	T	13-03-2023	IPR041898	MAGE homology domain, winged helix WH1 motif
sp|Q9UBF1|MAGC2_HUMAN	226c04080eefabe87bb6cf6efdf5403d	373	PANTHER	PTHR11736	MELANOMA-ASSOCIATED ANTIGEN  MAGE ANTIGEN	60	346	2.1E-101	T	13-03-2023	IPR037445	Melanoma-associated antigen
sp|Q9UBF1|MAGC2_HUMAN	226c04080eefabe87bb6cf6efdf5403d	373	FunFam	G3DSA:1.10.10.1200:FF:000007	Melanoma-associated antigen C2	111	219	9.9E-55	T	13-03-2023	-	-
sp|Q9UBF1|MAGC2_HUMAN	226c04080eefabe87bb6cf6efdf5403d	373	MobiDBLite	mobidb-lite	consensus disorder prediction	1	45	-	T	13-03-2023	-	-
sp|Q9UBF1|MAGC2_HUMAN	226c04080eefabe87bb6cf6efdf5403d	373	FunFam	G3DSA:1.10.10.1210:FF:000001	melanoma-associated antigen D1	216	342	5.4E-50	T	13-03-2023	-	-
sp|Q9UBF1|MAGC2_HUMAN	226c04080eefabe87bb6cf6efdf5403d	373	SMART	SM01373	MAGE_2	148	314	3.8E-95	T	13-03-2023	IPR002190	MAGE homology domain
sp|Q8IV76|PASD1_HUMAN	bf5736d83c823b8f58df6c4f5ad34705	773	Coils	Coil	Coil	475	552	-	T	13-03-2023	-	-
sp|Q8IV76|PASD1_HUMAN	bf5736d83c823b8f58df6c4f5ad34705	773	MobiDBLite	mobidb-lite	consensus disorder prediction	423	446	-	T	13-03-2023	-	-
sp|Q8IV76|PASD1_HUMAN	bf5736d83c823b8f58df6c4f5ad34705	773	MobiDBLite	mobidb-lite	consensus disorder prediction	506	568	-	T	13-03-2023	-	-
sp|Q8IV76|PASD1_HUMAN	bf5736d83c823b8f58df6c4f5ad34705	773	ProSiteProfiles	PS50112	PAS repeat profile.	38	102	10.618465	T	13-03-2023	IPR000014	PAS domain
sp|Q8IV76|PASD1_HUMAN	bf5736d83c823b8f58df6c4f5ad34705	773	SMART	SM00091	pas_2	32	98	3.6E-4	T	13-03-2023	IPR000014	PAS domain
sp|Q8IV76|PASD1_HUMAN	bf5736d83c823b8f58df6c4f5ad34705	773	MobiDBLite	mobidb-lite	consensus disorder prediction	547	567	-	T	13-03-2023	-	-
sp|Q8IV76|PASD1_HUMAN	bf5736d83c823b8f58df6c4f5ad34705	773	MobiDBLite	mobidb-lite	consensus disorder prediction	729	773	-	T	13-03-2023	-	-
sp|Q8IV76|PASD1_HUMAN	bf5736d83c823b8f58df6c4f5ad34705	773	Gene3D	G3DSA:3.30.450.20	PAS domain	42	180	1.7E-23	T	13-03-2023	-	-
sp|Q8IV76|PASD1_HUMAN	bf5736d83c823b8f58df6c4f5ad34705	773	MobiDBLite	mobidb-lite	consensus disorder prediction	506	533	-	T	13-03-2023	-	-
sp|Q8IV76|PASD1_HUMAN	bf5736d83c823b8f58df6c4f5ad34705	773	CDD	cd00130	PAS	41	137	4.325E-6	T	13-03-2023	IPR000014	PAS domain
sp|Q8IV76|PASD1_HUMAN	bf5736d83c823b8f58df6c4f5ad34705	773	SUPERFAMILY	SSF55785	PYP-like sensor domain (PAS domain)	43	112	1.31E-7	T	13-03-2023	IPR035965	PAS domain superfamily
sp|Q8IV76|PASD1_HUMAN	bf5736d83c823b8f58df6c4f5ad34705	773	Coils	Coil	Coil	392	412	-	T	13-03-2023	-	-
sp|Q8IV76|PASD1_HUMAN	bf5736d83c823b8f58df6c4f5ad34705	773	MobiDBLite	mobidb-lite	consensus disorder prediction	308	358	-	T	13-03-2023	-	-
sp|Q8IV76|PASD1_HUMAN	bf5736d83c823b8f58df6c4f5ad34705	773	PANTHER	PTHR46055	CIRCADIAN LOCOMOTER OUTPUT CYCLES PROTEIN KAPUT	524	770	3.2E-97	T	13-03-2023	IPR047230	Circadian locomoter output cycles protein kaput-like
sp|Q8IV76|PASD1_HUMAN	bf5736d83c823b8f58df6c4f5ad34705	773	Coils	Coil	Coil	367	387	-	T	13-03-2023	-	-
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	ProSitePatterns	PS00028	Zinc finger C2H2 type domain signature.	628	650	-	T	13-03-2023	IPR013087	Zinc finger C2H2-type
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	PANTHER	PTHR23235	KRUEPPEL-LIKE TRANSCRIPTION FACTOR	190	722	7.5E-68	T	13-03-2023	-	-
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	Gene3D	G3DSA:3.30.160.60	Classic Zinc Finger	617	650	1.8E-11	T	13-03-2023	-	-
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	FunFam	G3DSA:3.30.160.60:FF:000014	Transcription factor Sp3	652	682	9.4E-20	T	13-03-2023	-	-
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	ProSitePatterns	PS00028	Zinc finger C2H2 type domain signature.	658	680	-	T	13-03-2023	IPR013087	Zinc finger C2H2-type
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	SUPERFAMILY	SSF57667	beta-beta-alpha zinc fingers	637	695	1.04E-20	T	13-03-2023	IPR036236	Zinc finger C2H2 superfamily
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	MobiDBLite	mobidb-lite	consensus disorder prediction	29	63	-	T	13-03-2023	-	-
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	MobiDBLite	mobidb-lite	consensus disorder prediction	567	597	-	T	13-03-2023	-	-
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	ProSitePatterns	PS00028	Zinc finger C2H2 type domain signature.	688	708	-	T	13-03-2023	IPR013087	Zinc finger C2H2-type
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	CDD	cd22539	SP1_N	54	627	0.0	T	13-03-2023	-	-
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	ProSiteProfiles	PS50157	Zinc finger C2H2 type domain profile.	686	713	13.131079	T	13-03-2023	IPR013087	Zinc finger C2H2-type
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	ProSiteProfiles	PS50157	Zinc finger C2H2 type domain profile.	656	685	16.082279	T	13-03-2023	IPR013087	Zinc finger C2H2-type
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	FunFam	G3DSA:3.30.160.60:FF:000061	Transcription factor Sp3	615	651	5.6E-24	T	13-03-2023	-	-
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	MobiDBLite	mobidb-lite	consensus disorder prediction	70	142	-	T	13-03-2023	-	-
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	ProSiteProfiles	PS50157	Zinc finger C2H2 type domain profile.	626	655	14.087101	T	13-03-2023	IPR013087	Zinc finger C2H2-type
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	Gene3D	G3DSA:3.30.160.60	Classic Zinc Finger	683	714	1.9E-10	T	13-03-2023	-	-
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	Gene3D	G3DSA:3.30.160.60	Classic Zinc Finger	651	682	8.3E-17	T	13-03-2023	-	-
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	SMART	SM00355	c2h2final6	686	708	0.0013	T	13-03-2023	IPR013087	Zinc finger C2H2-type
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	SMART	SM00355	c2h2final6	656	680	2.1E-4	T	13-03-2023	IPR013087	Zinc finger C2H2-type
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	SMART	SM00355	c2h2final6	626	650	5.0	T	13-03-2023	IPR013087	Zinc finger C2H2-type
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	MobiDBLite	mobidb-lite	consensus disorder prediction	1	142	-	T	13-03-2023	-	-
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	FunFam	G3DSA:3.30.160.60:FF:000026	Transcription factor Sp3	683	714	1.3E-20	T	13-03-2023	-	-
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	MobiDBLite	mobidb-lite	consensus disorder prediction	338	395	-	T	13-03-2023	-	-
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	Pfam	PF00096	Zinc finger, C2H2 type	626	650	0.0098	T	13-03-2023	IPR013087	Zinc finger C2H2-type
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	Pfam	PF00096	Zinc finger, C2H2 type	656	680	2.7E-5	T	13-03-2023	IPR013087	Zinc finger C2H2-type
sp|P08047|SP1_HUMAN	4d870e6b805d5399dfa987366de42cc6	785	Pfam	PF00096	Zinc finger, C2H2 type	686	708	8.4E-5	T	13-03-2023	IPR013087	Zinc finger C2H2-type
sp|Q9NPC4|A4GAT_HUMAN	71ec842cf1a6c9e087136abb9dd663c0	353	PANTHER	PTHR12042	LACTOSYLCERAMIDE 4-ALPHA-GALACTOSYLTRANSFERASE  ALPHA- 1,4-GALACTOSYLTRANSFERASE	68	350	2.0E-104	T	13-03-2023	-	-
sp|Q9NPC4|A4GAT_HUMAN	71ec842cf1a6c9e087136abb9dd663c0	353	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	20	42	-	T	13-03-2023	-	-
sp|Q9NPC4|A4GAT_HUMAN	71ec842cf1a6c9e087136abb9dd663c0	353	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	43	353	-	T	13-03-2023	-	-
sp|Q9NPC4|A4GAT_HUMAN	71ec842cf1a6c9e087136abb9dd663c0	353	FunFam	G3DSA:3.90.550.20:FF:000003	Lactosylceramide 4-alpha-galactosyltransferase	85	278	1.8E-117	T	13-03-2023	-	-
sp|Q9NPC4|A4GAT_HUMAN	71ec842cf1a6c9e087136abb9dd663c0	353	Pfam	PF04572	Alpha 1,4-glycosyltransferase conserved region	222	348	4.8E-46	T	13-03-2023	IPR007652	Alpha 1,4-glycosyltransferase domain
sp|Q9NPC4|A4GAT_HUMAN	71ec842cf1a6c9e087136abb9dd663c0	353	Gene3D	G3DSA:3.90.550.20	-	77	274	2.7E-22	T	13-03-2023	-	-
sp|Q9NPC4|A4GAT_HUMAN	71ec842cf1a6c9e087136abb9dd663c0	353	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	21	43	-	T	13-03-2023	-	-
sp|Q9NPC4|A4GAT_HUMAN	71ec842cf1a6c9e087136abb9dd663c0	353	Pfam	PF04488	Glycosyltransferase sugar-binding region containing DXD motif	94	213	3.8E-20	T	13-03-2023	IPR007577	Glycosyltransferase, DXD sugar-binding motif
sp|Q9NPC4|A4GAT_HUMAN	71ec842cf1a6c9e087136abb9dd663c0	353	Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.	1	19	-	T	13-03-2023	-	-
sp|Q9NPC4|A4GAT_HUMAN	71ec842cf1a6c9e087136abb9dd663c0	353	SUPERFAMILY	SSF53448	Nucleotide-diphospho-sugar transferases	25	351	3.37E-68	T	13-03-2023	IPR029044	Nucleotide-diphospho-sugar transferases
sp|Q06830|PRDX1_HUMAN	2bf3e3f2ee45796fb1d25609fd20002c	199	PIRSF	PIRSF000239	AHPC	1	199	1.0E-67	T	13-03-2023	IPR024706	Peroxiredoxin, AhpC-type
sp|Q06830|PRDX1_HUMAN	2bf3e3f2ee45796fb1d25609fd20002c	199	CDD	cd03015	PRX_Typ2cys	8	180	2.06549E-124	T	13-03-2023	-	-
sp|Q06830|PRDX1_HUMAN	2bf3e3f2ee45796fb1d25609fd20002c	199	FunFam	G3DSA:3.40.30.10:FF:000529	Peroxiredoxin 1	2	176	4.8E-122	T	13-03-2023	-	-
sp|Q06830|PRDX1_HUMAN	2bf3e3f2ee45796fb1d25609fd20002c	199	ProSiteProfiles	PS51352	Thioredoxin domain profile.	6	165	18.637177	T	13-03-2023	IPR013766	Thioredoxin domain
sp|Q06830|PRDX1_HUMAN	2bf3e3f2ee45796fb1d25609fd20002c	199	MobiDBLite	mobidb-lite	consensus disorder prediction	176	199	-	T	13-03-2023	-	-
sp|Q06830|PRDX1_HUMAN	2bf3e3f2ee45796fb1d25609fd20002c	199	Pfam	PF00578	AhpC/TSA family	8	141	2.4E-41	T	13-03-2023	IPR000866	Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant
sp|Q06830|PRDX1_HUMAN	2bf3e3f2ee45796fb1d25609fd20002c	199	Gene3D	G3DSA:3.40.30.10	Glutaredoxin	2	199	3.3E-94	T	13-03-2023	-	-
sp|Q06830|PRDX1_HUMAN	2bf3e3f2ee45796fb1d25609fd20002c	199	PANTHER	PTHR10681	THIOREDOXIN PEROXIDASE	5	198	2.4E-107	T	13-03-2023	-	-
sp|Q06830|PRDX1_HUMAN	2bf3e3f2ee45796fb1d25609fd20002c	199	MobiDBLite	mobidb-lite	consensus disorder prediction	185	199	-	T	13-03-2023	-	-
sp|Q06830|PRDX1_HUMAN	2bf3e3f2ee45796fb1d25609fd20002c	199	Pfam	PF10417	C-terminal domain of 1-Cys peroxiredoxin	162	197	4.9E-15	T	13-03-2023	IPR019479	Peroxiredoxin, C-terminal
sp|Q06830|PRDX1_HUMAN	2bf3e3f2ee45796fb1d25609fd20002c	199	SUPERFAMILY	SSF52833	Thioredoxin-like	7	197	2.56E-74	T	13-03-2023	IPR036249	Thioredoxin-like superfamily
sp|Q8N393|ZN786_HUMAN	69488600a21512f28c9ec5fd95b80dde	782	FunFam	G3DSA:3.30.160.60:FF:000100	Zinc finger 45-like	236	263	1.3E-5	T	13-03-2023	-	-
sp|Q8N393|ZN786_HUMAN	69488600a21512f28c9ec5fd95b80dde	782	Pfam	PF00096	Zinc finger, C2H2 type	593	615	1.1E-4	T	13-03-2023	IPR013087	Zinc finger C2H2-type
sp|Q8N393|ZN786_HUMAN	69488600a21512f28c9ec5fd95b80dde	782	Pfam	PF00096	Zinc finger, C2H2 type	732	754	1.4E-4	T	13-03-2023	IPR013087	Zinc finger C2H2-type
sp|Q8N393|ZN786_HUMAN	69488600a21512f28c9ec5fd95b80dde	782	Pfam	PF00096	Zinc finger, C2H2 type	425	447	0.0035	T	13-03-2023	IPR013087	Zinc finger C2H2-type
sp|Q8N393|ZN786_HUMAN	69488600a21512f28c9ec5fd95b80dde	782	Pfam	PF00096	Zinc finger, C2H2 type	621	643	0.0042	T	13-03-2023	IPR013087	Zinc finger C2H2-type
sp|Q8N393|ZN786_HUMAN	69488600a21512f28c9ec5fd95b80dde	782	Pfam	PF00096	Zinc finger, C2H2 type	509	531	0.005	T	13-03-2023	IPR013087	Zinc finger C2H2-type
sp|Q8N393|ZN786_HUMAN	69488600a21512f28c9ec5fd95b80dde	782	Pfam	PF00096	Zinc finger, C2H2 type	240	262	0.0012	T	13-03-2023	IPR013087	Zinc finger C2H2-type
sp|Q8N393|ZN786_HUMAN	69488600a21512f28c9ec5fd95b80dde	782	Pfam	PF00096	Zinc finger, C2H2 type	565	587	8.5E-6	T	13-03-2023	IPR013087	Zinc finger C2H2-type
